Ốc Dì Tú, Hanoi, Seafood, ocditu.png, Selected, https://www.foody.vn/ha-noi/oc-di-tu
Đông Phố, Ho Chi Minh City, Vietnamese, dongpho.jpeg, Selected, http://www.dongphorestaurant.com/
Phở Chào, Ho Chi Minh City, Noodles, phochao.jpeg, Bib Gourmand, https://www.facebook.com/phochaosaigon/
Truffle, Ho Chi Minh City, French Contemporary, truffle.jpeg, Selected, https://www.the-truffle.com/
Xới Cơm, Hanoi, Vietnamese, xoicom.jpeg, Bib Gourmand, https://www.xoicom.vn/
Ănăn Saigon, Ho Chi Minh City, Vietnamese Contemporary, anan.jpeg, 1, https://anansaigon.com/
Chả Cá Thăng Long, Hanoi, Vietnamese, chacathanglong.jpeg, Bib Gourmand, https://chacathanglong.com.vn/
Hibana by Koki, Hanoi, Teppanyaki, hibanabykoki.jpg, 1, https://capellahotels.com/en/capella-hanoi/dining/koki
Hum Garden, Ho Chi Minh City, Vegetarian, humgarden.jpeg, Bib Gourmand, https://hum-dining.vn/
Rice Field, Ho Chi Minh City, Vietnamese, ricefield.jpeg, Selected, https://www.facebook.com/ricefieldrestaurant
Gia, Hanoi, Vietnamese Contemporary, gia.jpeg, 1, https://gia-hanoi.com/
Hoa Túc, Ho Chi Minh City, Vietnamese, hoatuc.jpeg, Selected, https://hoatuc.com/